price,area,level,market,building,num_of_rooms,city,district,price_per_m2
490000.0,63.0,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7778.0
499000.0,47.0,1,Wtórny,Blok,2 pokoje,Bydgoszcz,-,10617.0
319000.0,42.42,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7520.0
260000.0,35.0,3,Wtórny,Blok,1 pokój,Bydgoszcz,-,7429.0
319000.0,35.5,1,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8986.0
350000.0,33.0,1,Wtórny,Apartamentowiec,2 pokoje,Bydgoszcz,-,10606.0
413100.0,50.0,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8262.0
305000.0,47.11,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6474.0
599000.0,56.51,2,Wtórny,Blok,3 pokoje,Bydgoszcz,-,10600.0
298000.0,46.6,4,Wtórny,Blok,3 pokoje,Bydgoszcz,-,6395.0
519000.0,53.0,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,9792.0
420000.0,58.0,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7241.0
528000.0,72.57,0,Wtórny,Kamienica,3 pokoje,Bydgoszcz,-,7276.0
290000.0,47.53,0,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,6101.0
385000.0,37.0,1,Wtórny,Blok,2 pokoje,Bydgoszcz,-,10405.0
398000.0,43.0,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,9256.0
432000.0,56.0,5,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7714.0
379000.0,53.0,1,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7151.0
290000.0,35.14,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8253.0
349000.0,34.0,4,Pierwotny,Blok,2 pokoje,Bydgoszcz,-,10265.0
429000.0,48.0,4,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8938.0
279000.0,34.0,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8206.0
505000.0,62.47,0,Pierwotny,Blok,3 pokoje,Bydgoszcz,-,8084.0
359000.0,44.0,3,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,8159.0
610000.0,61.11,0,Wtórny,Apartamentowiec,3 pokoje,Bydgoszcz,-,9982.0
412000.0,46.01,0,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,8955.0
385000.0,52.4,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7347.0
273000.0,38.09,7,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7167.0
360000.0,52.0,1,Wtórny,Pozostałe,2 pokoje,Bydgoszcz,-,6923.0
